source_set,source_page,card_code,pokemon,move_name,json_id,attack_type,energy_cost,printed_damage,raw_effect_text,runtime_effect_mapping
EB01,2,EBW01-025,articuno,Roost,articuno_roost_ebw01_025,flying,flyingx2,,Heal 20 damage from this Pokémon. | Heal 20 more damage from this Pokémon.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-026,articuno,Freeze Dive,articuno_freeze_dive_ebw01_026,water,waterx1,10,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-027,articuno,Ice Shot,articuno_ice_shot_ebw01_027,water,waterx2,20,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-028,articuno,Cold Breath,articuno_cold_breath_ebw01_028,water,waterx3,20,"On the opponent's next turn, reduce the number of Enekoro they roll by 2.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-029,articuno,Sheer Cold,articuno_sheer_cold_ebw01_029,water,waterx4,40,"On the opponent's next turn, reduce the number of Enekoro they roll by 2. | They cannot roll their Charakoro.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-030,articuno,Fly,articuno_fly_ebw01_030,flying,flyingx1 + normalx2,30,"During your opponent's next turn, this Pokémon doesn't take damage from attacks. | This attack does nothing.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-031,zapdos,Thunder Flash,zapdos_thunder_flash_ebw01_031,electric,electricx2,20,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-032,zapdos,Thunder Shock,zapdos_thunder_shock_ebw01_032,electric,electricx1,10,This attack does 10 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-033,zapdos,Volt Rush,zapdos_volt_rush_ebw01_033,electric,electricx4,10,"Roll your Charakoro 3 times. Each time the Charakoro roll succeeds with this attack, this attack does 30 more damage.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-034,zapdos,Aerial Ace,zapdos_aerial_ace_ebw01_034,flying,flyingx1,20,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-035,zapdos,Crushing Wing,zapdos_crushing_wing_ebw01_035,flying,flyingx1 + normalx4,40,This attack does 40 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-036,zapdos,Dual Thunder,zapdos_dual_thunder_ebw01_036,electric,electricx1,,"Roll your Charakoro 2 times. Each time the Charakoro roll succeeds with this attack, this attack does 20 more damage.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-037,zapdos,Electroarrow,zapdos_electroarrow_ebw01_037,electric,electricx2,20,This attack does 40 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-038,zapdos,Discharge,zapdos_discharge_ebw01_038,electric,electricx3,30,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-039,zapdos,Thunder Chain,zapdos_thunder_chain_ebw01_039,electric,electricx4,30,This attack does 30 more damage. | Reroll your Charakoro. (Can be repeated until it fails.),pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-040,zapdos,Fly,zapdos_fly_ebw01_040,flying,flyingx1 + normalx2,30,"During your opponent's next turn, this Pokémon doesn't take damage from attacks. | This attack does nothing.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-041,onix,Rocky Tackle,onix_rocky_tackle_ebw01_041,fighting,fightingx2,10,"During your opponent's next turn, this Pokémon takes 10 less damage from attacks. | Reduce damage taken by an additional 20.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-042,onix,Rock Throw,onix_rock_throw_ebw01_042,fighting,fightingx3,20,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-043,onix,Rock Wall,onix_rock_wall_ebw01_043,fighting,fightingx3,30,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-044,onix,Hard Impact,onix_hard_impact_ebw01_044,fighting,fightingx4,30,"This attack does 30 more damage. | On your next turn, reduce the number of Enekoro you roll by 1.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-045,onix,Gyro Ball,onix_gyro_ball_ebw01_045,steel,steelx1 + normalx2,20,"Your opponent also rolls their Charakoro. On the indicated results, this attack does 60 more damage.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-046,onix,Ram,onix_ram_ebw01_046,fighting,fightingx1,10,This attack does 10 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-047,onix,Rock Slide,onix_rock_slide_ebw01_047,fighting,fightingx2,20,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-048,onix,Wild Tackle,onix_wild_tackle_ebw01_048,fighting,fightingx3,30,This attack does 20 more damage. | This Pokémon also does 20 damage to itself.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,2,EBW01-049,onix,Rock Barrier,onix_rock_barrier_ebw01_049,fighting,fightingx5,40,"During your opponent's next turn, this Pokémon takes 50 less damage from attacks.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-050,onix,Iron Tail,onix_iron_tail_ebw01_050,steel,steelx1 + normalx2,20,"During your opponent's next turn, this Pokémon takes 10 less damage from attacks.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-051,grimer,Poison Gas,grimer_poison_gas_ebw01_051,dark,darkx1,10,"On the opponent's next turn, reduce the number of Enekoro they roll by 1.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-052,grimer,Sludge Toss,grimer_sludge_toss_ebw01_052,dark,darkx2,20,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-053,grimer,Toxic Heal,grimer_toxic_heal_ebw01_053,dark,darkx3,30,"During your last turn, if this Pokémon's ""Poison Gas"" attack was successful, heal 30 damage from this Pokémon.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-054,grimer,Sludge Ring,grimer_sludge_ring_ebw01_054,dark,darkx3,30,"Choose 1 of your opponent's attacks. During their next turn, they can't use this attack.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-055,grimer,Venom Punch,grimer_venom_punch_ebw01_055,dark,darkx4,40,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-056,grimer,Venom Slip,grimer_venom_slip_ebw01_056,dark,darkx2,20,"Your opponent also rolls their Charakoro. On the indicated results, this attack does 20 more damage.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-057,grimer,Toxic Blast,grimer_toxic_blast_ebw01_057,dark,darkx3,30,"During your last turn, if this Pokémon's ""Poison Gas"" attack was successful, this attack does 30 more damage.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-058,grimer,Sludge Tackle,grimer_sludge_tackle_ebw01_058,dark,darkx3,20,This attack does 40 more damage. | This Pokémon also does 20 damage to itself.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,3,EBW01-059,grimer,Harassment Venom,grimer_harassment_venom_ebw01_059,dark,darkx4,20,"During your opponent's last turn, if their Enekoro roll failed, this attack does 50 more damage.",pending_kyokoro_orientation_and_special_effect_mapping
