file,line,classification,context
scenes/ui/PlakoroContentStudioUI.tscn,309,technical/schema default,"text = ""V2 schema: schema_version / id / species_id / display_name / pokemon_type / max_hp / weaknesses[] / available_move_card_ids[] / kyokoro_profile_id"""
scenes/ui/PlakoroContentStudioUI.tscn,326,runtime-overridden/default,"text = ""Basic Information"""
scenes/ui/PlakoroContentStudioUI.tscn,340,runtime-overridden/default,"text = ""id"""
scenes/ui/PlakoroContentStudioUI.tscn,347,runtime-overridden/default,"placeholder_text = ""pikachu_standard"""
scenes/ui/PlakoroContentStudioUI.tscn,352,technical/schema default,"text = ""species_id"""
scenes/ui/PlakoroContentStudioUI.tscn,359,runtime-overridden/default,"placeholder_text = ""pikachu"""
scenes/ui/PlakoroContentStudioUI.tscn,364,runtime-overridden/default,"text = ""display_name"""
scenes/ui/PlakoroContentStudioUI.tscn,371,runtime-overridden/default,"placeholder_text = ""Pikachu"""
scenes/ui/PlakoroContentStudioUI.tscn,376,technical/schema default,"text = ""pokemon_type"""
scenes/ui/PlakoroContentStudioUI.tscn,387,technical/schema default,"text = ""max_hp"""
scenes/ui/PlakoroContentStudioUI.tscn,408,runtime-overridden/default,"text = ""Charakoro PNG"""
scenes/ui/PlakoroContentStudioUI.tscn,422,runtime-overridden/default,"text = ""No PNG"""
scenes/ui/PlakoroContentStudioUI.tscn,434,runtime-overridden/default,"text = ""Battle Weakness"""
scenes/ui/PlakoroContentStudioUI.tscn,442,technical/schema default,"text = ""attack_type"""
scenes/ui/PlakoroContentStudioUI.tscn,451,technical/schema default,"text = ""bonus_damage"""
scenes/ui/PlakoroContentStudioUI.tscn,471,runtime-overridden/default,"text = ""Charakoro Profile"""
scenes/ui/PlakoroContentStudioUI.tscn,483,technical/schema default,"text = ""Profile source: res://database/kyokoro_profiles/"""
scenes/ui/PlakoroContentStudioUI.tscn,488,runtime-overridden/default,"text = ""Open Charakoro Profile"""
scenes/ui/PlakoroContentStudioUI.tscn,489,runtime-overridden/default,"tooltip_text = ""Open this profile in Charakoro Profile Editor."""
scenes/ui/PlakoroContentStudioUI.tscn,501,runtime-overridden/default,"text = ""Default Enerkoro"""
scenes/ui/PlakoroContentStudioUI.tscn,506,runtime-overridden/default,"text = ""Species default used when Battle Preparation selects Pokémon Default. If missing, Save Pokémon automatically generates a valid default from the Pokémon type."""
scenes/ui/PlakoroContentStudioUI.tscn,512,technical/schema default,"text = ""user://user_database/dice_setups/<species>_default.json"""
scenes/ui/PlakoroContentStudioUI.tscn,517,runtime-overridden/default,"text = ""Default Dice: Missing"""
scenes/ui/PlakoroContentStudioUI.tscn,523,runtime-overridden/default,"text = ""Edit Default Dice"""
scenes/ui/PlakoroContentStudioUI.tscn,529,runtime-overridden/default,"text = ""Regenerate Default Dice"""
scenes/ui/PlakoroContentStudioUI.tscn,541,runtime-overridden/default,"text = ""Move Loadout"""
scenes/ui/PlakoroContentStudioUI.tscn,561,runtime-overridden/default,"text = ""Add →"""
scenes/ui/PlakoroContentStudioUI.tscn,566,runtime-overridden/default,"text = ""← Remove"""
scenes/ui/PlakoroContentStudioUI.tscn,577,runtime-overridden/default,"text = ""Open Selected Move"""
scenes/ui/PlakoroContentStudioUI.tscn,578,runtime-overridden/default,"tooltip_text = ""Open the selected Move in Move Editor."""
scenes/ui/PlakoroContentStudioUI.tscn,595,runtime-overridden/default,"text = ""Profile settings control how this Charakoro behaves when rolled."""
scenes/ui/PlakoroContentStudioUI.tscn,612,runtime-overridden/default,"text = ""id"""
scenes/ui/PlakoroContentStudioUI.tscn,619,runtime-overridden/default,"placeholder_text = ""standard_equal"""
scenes/ui/PlakoroContentStudioUI.tscn,624,runtime-overridden/default,"text = ""roll_mode"""
scenes/ui/PlakoroContentStudioUI.tscn,635,technical/schema default,"text = ""scene_path"""
scenes/ui/PlakoroContentStudioUI.tscn,642,runtime-overridden/default,"placeholder_text = """""
scenes/ui/PlakoroContentStudioUI.tscn,654,runtime-overridden/default,"text = ""Landing Orientation Weights"""
scenes/ui/PlakoroContentStudioUI.tscn,659,runtime-overridden/default,"text = ""Edit the six Charakoro orientation weights. Probability is normalized automatically."""
scenes/ui/PlakoroContentStudioUI.tscn,674,runtime-overridden/default,"text = ""Total Weight: 6.0"""
scenes/ui/PlakoroContentStudioUI.tscn,686,runtime-overridden/default,"text = ""Used by Pokémon"""
scenes/ui/PlakoroContentStudioUI.tscn,691,runtime-overridden/default,"text = ""Pokémon currently using this Charakoro Profile."""
scenes/ui/PlakoroContentStudioUI.tscn,701,runtime-overridden/default,"text = ""Used by 0 Pokémon."""
scenes/ui/PlakoroContentStudioUI.tscn,710,runtime-overridden/default,"text = ""Physics profile is preserved automatically when this profile is saved."""
scenes/ui/PlakoroContentStudioUI.tscn,727,runtime-overridden/default,"text = ""Runtime Effects: Supported"""
scenes/ui/PlakoroContentStudioUI.tscn,736,technical/schema default,"text = ""Move Card V2: schema_version / id / move_name_id / owner_id / display_name / move_category / attack_type / energy_cost[] / printed_damage / base_actions[] / outcome_rules[] / resolution / source / review"""
scenes/ui/PlakoroContentStudioUI.tscn,748,runtime-overridden/default,"text = ""Basic Information"""
scenes/ui/PlakoroContentStudioUI.tscn,762,runtime-overridden/default,"text = ""id"""
scenes/ui/PlakoroContentStudioUI.tscn,769,runtime-overridden/default,"placeholder_text = ""pikachu_iron_tail_stw04_007"""
scenes/ui/PlakoroContentStudioUI.tscn,774,technical/schema default,"text = ""move_name_id"""
scenes/ui/PlakoroContentStudioUI.tscn,781,runtime-overridden/default,"placeholder_text = ""iron_tail"""
scenes/ui/PlakoroContentStudioUI.tscn,786,technical/schema default,"text = ""owner_id"""
scenes/ui/PlakoroContentStudioUI.tscn,793,runtime-overridden/default,"placeholder_text = ""pikachu"""
scenes/ui/PlakoroContentStudioUI.tscn,798,runtime-overridden/default,"text = ""display_name"""
scenes/ui/PlakoroContentStudioUI.tscn,805,runtime-overridden/default,"placeholder_text = ""Iron Tail"""
scenes/ui/PlakoroContentStudioUI.tscn,810,runtime-overridden/default,"text = ""move_category"""
scenes/ui/PlakoroContentStudioUI.tscn,821,technical/schema default,"text = ""attack_type"""
scenes/ui/PlakoroContentStudioUI.tscn,832,technical/schema default,"text = ""printed_damage"""
scenes/ui/PlakoroContentStudioUI.tscn,849,runtime-overridden/default,"text = ""None / null"""
scenes/ui/PlakoroContentStudioUI.tscn,861,runtime-overridden/default,"text = ""Gameplay & Effects"""
scenes/ui/PlakoroContentStudioUI.tscn,871,technical/schema default,"text = ""energy_cost[]"""
scenes/ui/PlakoroContentStudioUI.tscn,877,runtime-overridden/default,"text = ""+ Attack Type"""
scenes/ui/PlakoroContentStudioUI.tscn,883,runtime-overridden/default,"text = ""Clear"""
scenes/ui/PlakoroContentStudioUI.tscn,889,runtime-overridden/default,"text = ""+ Add Energy"""
scenes/ui/PlakoroContentStudioUI.tscn,899,runtime-overridden/default,"text = ""Visual Cost Preview"""
scenes/ui/PlakoroContentStudioUI.tscn,911,runtime-overridden/default,"text = ""Total Energy Required: 0"""
scenes/ui/PlakoroContentStudioUI.tscn,921,technical/schema default,"text = ""base_actions[]"""
scenes/ui/PlakoroContentStudioUI.tscn,927,runtime-overridden/default,"text = ""+ Add Action"""
scenes/ui/PlakoroContentStudioUI.tscn,943,technical/schema default,"text = ""outcome_rules[]"""
scenes/ui/PlakoroContentStudioUI.tscn,949,runtime-overridden/default,"text = ""+ Add Outcome Rule"""
scenes/ui/PlakoroContentStudioUI.tscn,960,runtime-overridden/default,"text = ""10.1c supports the current runtime opcodes damage.create and incoming_damage.modify. Unknown existing opcodes load as Custom JSON so they are not lost."""
scenes/ui/PlakoroContentStudioUI.tscn,969,runtime-overridden/default,"text = ""base_actions: 0"""
scenes/ui/PlakoroContentStudioUI.tscn,974,runtime-overridden/default,"text = ""outcome_rules: 0"""
scenes/ui/PlakoroContentStudioUI.tscn,987,runtime-overridden/default,"text = ""Advanced Data"""
scenes/ui/PlakoroContentStudioUI.tscn,992,runtime-overridden/default,"text = ""Shows special_effects / resolution / source / review exactly as stored. outcome_rules above are the authoritative normal Charakoro effects. special_effects may contain legacy mirrors plus structural mechanics such as multi-roll/repeat/opponent-roll."""
scenes/ui/PlakoroContentStudioUI.tscn,1012,runtime-overridden/default,"text = ""Pokémon Assignment"""
scenes/ui/PlakoroContentStudioUI.tscn,1017,technical/schema default,"text = ""Only Pokémon whose species_id matches this Move owner_id are assignable. Checked Pokémon receive the Move ID in available_move_card_ids[]."""
scenes/ui/PlakoroContentStudioUI.tscn,1034,runtime-overridden/default,"text = ""Referenced by 0 Pokémon."""
scenes/ui/PlakoroContentStudioUI.tscn,1046,runtime-overridden/default,"text = ""Preview"""
scenes/ui/PlakoroContentStudioUI.tscn,1051,runtime-overridden/default,"text = ""Live presentation preview. This does not change the Move Card JSON schema."""
scenes/ui/PlakoroContentStudioUI.tscn,1073,runtime-overridden/default,"text = ""Unnamed Move"""
scenes/ui/PlakoroContentStudioUI.tscn,1078,runtime-overridden/default,"text = ""Normal • Attack"""
scenes/ui/PlakoroContentStudioUI.tscn,1084,runtime-overridden/default,"text = ""Damage: —"""
scenes/ui/PlakoroContentStudioUI.tscn,1088,runtime-overridden/default,"text = ""Energy Cost"""
scenes/ui/PlakoroContentStudioUI.tscn,1099,runtime-overridden/default,"text = ""Effects"""
scenes/ui/PlakoroContentStudioUI.tscn,1118,runtime-overridden/default,"text = ""Technical JSON Preview"""
scenes/ui/PlakoroContentStudioUI.tscn,1132,runtime-overridden/default,"text = ""Saved"""
scenes/ui/PlakoroContentStudioUI.tscn,1148,runtime-overridden/default,"text = ""Ready — select content or create a new entry."""
scenes/ui/PlakoroContentStudioUI.tscn,1158,runtime-overridden/default,"text = ""Milestone 12.8g — Full Creation Workflow Regression"""
scenes/ui/PlakoroContentStudioUI.tscn,1163,runtime-overridden/default,"text = ""Save"""
scenes/ui/PlakoroContentStudioUI.tscn,1167,runtime-overridden/default,"title = ""Unsaved Changes"""
scenes/ui/PlakoroContentStudioUI.tscn,1180,runtime-overridden/default,"text = ""You have unsaved changes. Save them before continuing?"""
scenes/ui/PlakoroContentStudioUI.tscn,1184,runtime-overridden/default,"title = ""Restore Built-in Content?"""
scenes/ui/PlakoroContentStudioUI.tscn,1197,runtime-overridden/default,"text = ""The user override will be removed. The built-in content will remain unchanged."""
scenes/ui/PlakoroContentStudioUI.tscn,1201,runtime-overridden/default,"title = ""Delete Content?"""
scenes/ui/PlakoroContentStudioUI.tscn,1214,runtime-overridden/default,"text = ""Select a database entry."""
scenes/ui/PlakoroContentStudioUI.tscn,1218,runtime-overridden/default,"title = ""Regenerate Default Enerkoro?"""
scenes/ui/PlakoroContentStudioUI.tscn,1231,runtime-overridden/default,"text = ""This will replace the Pokémon Default Dice file."""
scenes/ui/PlakoroContentStudioUI.tscn,1235,runtime-overridden/default,"title = ""Database Integrity"""
