file,line,property,text,category,context
scenes/ui/EnergyDiceVisualBuilderUI.tscn,199,text,Energy Preview,player/editor UI,"text = ""Energy Preview"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,222,text,Move Readiness,player/editor UI,"text = ""Move Readiness"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,228,text,Availability based on the four Moves in the current Player Loadout.,player/editor UI,"text = ""Availability based on the four Moves in the current Player Loadout."""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,252,text,Setup Validation,player/editor UI,"text = ""Setup Validation"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,261,text,Energy Probability,player/editor UI,"text = ""Energy Probability"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,271,text,Reset to Default,player/editor UI,"text = ""Reset to Default"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,282,text,Save,player/editor UI,"text = ""Save"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,287,text,Save & Use,player/editor UI,"text = ""Save & Use"""
scenes/ui/EnergyDiceSetupView.tscn,51,text,Enerkoro Setup,review,"text = ""Enerkoro Setup"""
scenes/ui/EnergyDiceSetupView.tscn,64,text,Load,review,"text = ""Load"""
scenes/ui/EnergyDiceSetupView.tscn,69,text,Validation,review,"text = ""Validation"""
scenes/ui/EnergyDiceSetupView.tscn,94,text,Probability,review,"text = ""Probability"""
scenes/ui/BattlePreparationUI.tscn,65,text,Battle Preparation,player/editor UI,"text = ""Battle Preparation"""
scenes/ui/BattlePreparationUI.tscn,73,text,Loadout,player/editor UI,"text = ""Loadout"""
scenes/ui/BattlePreparationUI.tscn,78,text,Content Studio,player/editor UI,"text = ""Content Studio"""
scenes/ui/BattlePreparationUI.tscn,116,text,Pokémon,player/editor UI,"text = ""Pokémon"""
scenes/ui/BattlePreparationUI.tscn,138,text,Pokémon,player/editor UI,"text = ""Pokémon"""
scenes/ui/BattlePreparationUI.tscn,143,text,pokemon_id,player/editor UI,"text = ""pokemon_id"""
scenes/ui/BattlePreparationUI.tscn,148,text,Type: —,player/editor UI,"text = ""Type: —"""
scenes/ui/BattlePreparationUI.tscn,153,text,HP: —,player/editor UI,"text = ""HP: —"""
scenes/ui/BattlePreparationUI.tscn,159,text,Weakness: —,player/editor UI,"text = ""Weakness: —"""
scenes/ui/BattlePreparationUI.tscn,173,text,Battle Setup,player/editor UI,"text = ""Battle Setup"""
scenes/ui/BattlePreparationUI.tscn,193,text,Opponent,player/editor UI,"text = ""Opponent"""
scenes/ui/BattlePreparationUI.tscn,199,text,Squirtle,player/editor UI,"text = ""Squirtle"""
scenes/ui/BattlePreparationUI.tscn,205,text,Loadout,player/editor UI,"text = ""Loadout"""
scenes/ui/BattlePreparationUI.tscn,210,text,Difficulty,player/editor UI,"text = ""Difficulty"""
scenes/ui/BattlePreparationUI.tscn,216,text,Weakness: —,player/editor UI,"text = ""Weakness: —"""
scenes/ui/BattlePreparationUI.tscn,224,text,Resolution,player/editor UI,"text = ""Resolution"""
scenes/ui/BattlePreparationUI.tscn,236,text,Validation,player/editor UI,"text = ""Validation"""
scenes/ui/BattlePreparationUI.tscn,249,text,Selected Moves,player/editor UI,"text = ""Selected Moves"""
scenes/ui/BattlePreparationUI.tscn,270,text,Enerkoro,player/editor UI,"text = ""Enerkoro"""
scenes/ui/BattlePreparationUI.tscn,289,text,Loadout Analysis,player/editor UI,"text = ""Loadout Analysis"""
scenes/ui/BattlePreparationUI.tscn,295,text,☆☆☆☆☆  No Analysis,player/editor UI,"text = ""☆☆☆☆☆  No Analysis"""
scenes/ui/BattlePreparationUI.tscn,301,text,Overall coverage: —,player/editor UI,"text = ""Overall coverage: —"""
scenes/ui/BattlePreparationUI.tscn,308,text,Move Coverage,player/editor UI,"text = ""Move Coverage"""
scenes/ui/BattlePreparationUI.tscn,314,text,Coverage,player/editor UI,"text = ""Coverage"""
scenes/ui/BattlePreparationUI.tscn,323,text,Energy Usage,player/editor UI,"text = ""Energy Usage"""
scenes/ui/BattlePreparationUI.tscn,333,text,Loadout Status: Saved,player/editor UI,"text = ""Loadout Status: Saved"""
scenes/ui/BattlePreparationUI.tscn,338,text,Loadout Signature: —,player/editor UI,"text = ""Loadout Signature: —"""
scenes/ui/BattlePreparationUI.tscn,351,text,Move Configuration: ✓ Saved Loadout,player/editor UI,"text = ""Move Configuration: ✓ Saved Loadout"""
scenes/ui/BattlePreparationUI.tscn,362,text,Refresh,player/editor UI,"text = ""Refresh"""
scenes/ui/BattlePreparationUI.tscn,368,text,Edit Enerkoro,player/editor UI,"text = ""Edit Enerkoro"""
scenes/ui/BattlePreparationUI.tscn,374,text,Configure Battle / Moves,player/editor UI,"text = ""Configure Battle / Moves"""
scenes/ui/BattlePreparationUI.tscn,385,text,Start Battle,player/editor UI,"text = ""Start Battle"""
scenes/ui/BattlePreparationUI.tscn,389,title,Battle Loadout Setup,player/editor UI,"title = ""Battle Loadout Setup"""
scenes/ui/BattlePreparationUI.tscn,395,ok_button_text,Apply Battle Setup,player/editor UI,"ok_button_text = ""Apply Battle Setup"""
scenes/ui/BattlePreparationUI.tscn,396,cancel_button_text,Cancel,player/editor UI,"cancel_button_text = ""Cancel"""
scenes/ui/BattlePreparationUI.tscn,405,text,"Configure Player and AI battle loadouts here. Select Pokémon, exactly four different move_name_id Moves, Player Enerkoro source, and AI difficulty. Hover a Move to open its detail card with Charakoro trigger/effect information. Move content editing remains in Content Studio.",player/editor UI,"text = ""Configure Player and AI battle loadouts here. Select Pokémon, exactly four different move_name_id Moves, Player Enerkoro source, and AI difficulty. Hover a Move to open its detail card with Charakoro trigger/effect information. Move"
scenes/ui/BattlePreparationUI.tscn,411,text,Player: 0 / 4 Moves | AI: 0 / 4 Moves,player/editor UI,"text = ""Player: 0 / 4 Moves | AI: 0 / 4 Moves"""
scenes/ui/BattlePreparationUI.tscn,430,text,Player,player/editor UI,"text = ""Player"""
scenes/ui/BattlePreparationUI.tscn,439,text,Enerkoro Source,player/editor UI,"text = ""Enerkoro Source"""
scenes/ui/BattlePreparationUI.tscn,450,text,Using Pokémon Default,player/editor UI,"text = ""Using Pokémon Default"""
scenes/ui/BattlePreparationUI.tscn,458,text,Select 4 Moves,player/editor UI,"text = ""Select 4 Moves"""
scenes/ui/BattlePreparationUI.tscn,463,text,0 / 4,player/editor UI,"text = ""0 / 4"""
scenes/ui/BattlePreparationUI.tscn,491,text,AI,player/editor UI,"text = ""AI"""
scenes/ui/BattlePreparationUI.tscn,509,text,Select 4 Moves,player/editor UI,"text = ""Select 4 Moves"""
scenes/ui/BattlePreparationUI.tscn,514,text,0 / 4,player/editor UI,"text = ""0 / 4"""
scenes/ui/PlakoroContentStudioUI.tscn,61,text,Plakoro Content Studio,player/editor UI,"text = ""Plakoro Content Studio"""
scenes/ui/PlakoroContentStudioUI.tscn,70,text,Validate Database,player/editor UI,"text = ""Validate Database"""
scenes/ui/PlakoroContentStudioUI.tscn,75,text,← Back to Preparation,player/editor UI,"text = ""← Back to Preparation"""
scenes/ui/PlakoroContentStudioUI.tscn,84,text,Pokémon Editor,player/editor UI,"text = ""Pokémon Editor"""
scenes/ui/PlakoroContentStudioUI.tscn,89,text,Charakoro Profile Editor,player/editor UI,"text = ""Charakoro Profile Editor"""
scenes/ui/PlakoroContentStudioUI.tscn,94,text,Move Editor,player/editor UI,"text = ""Move Editor"""
scenes/ui/PlakoroContentStudioUI.tscn,99,text,Model Weight Generator,player/editor UI,"text = ""Model Weight Generator"""
scenes/ui/PlakoroContentStudioUI.tscn,108,text,Advanced / Technical Details,player/editor UI,"text = ""Advanced / Technical Details"""
scenes/ui/PlakoroContentStudioUI.tscn,109,tooltip_text,"Show schema, runtime compatibility, legacy JSON, and technical previews.",player/editor UI,"tooltip_text = ""Show schema, runtime compatibility, legacy JSON, and technical previews."""
scenes/ui/PlakoroContentStudioUI.tscn,139,text,Source: New Content,player/editor UI,"text = ""Source: New Content"""
scenes/ui/PlakoroContentStudioUI.tscn,144,text,Restore Built-in,player/editor UI,"text = ""Restore Built-in"""
scenes/ui/PlakoroContentStudioUI.tscn,146,tooltip_text,Remove the user override and return to the built-in version.,player/editor UI,"tooltip_text = ""Remove the user override and return to the built-in version."""
scenes/ui/PlakoroContentStudioUI.tscn,162,text,×,player/editor UI,"text = ""×"""
scenes/ui/PlakoroContentStudioUI.tscn,163,tooltip_text,Clear search,player/editor UI,"tooltip_text = ""Clear search"""
scenes/ui/PlakoroContentStudioUI.tscn,173,tooltip_text,Filter by content source,player/editor UI,"tooltip_text = ""Filter by content source"""
scenes/ui/PlakoroContentStudioUI.tscn,179,tooltip_text,Filter by Pokémon or Move type,player/editor UI,"tooltip_text = ""Filter by Pokémon or Move type"""
scenes/ui/PlakoroContentStudioUI.tscn,184,text,0 / 0 shown,player/editor UI,"text = ""0 / 0 shown"""
scenes/ui/PlakoroContentStudioUI.tscn,200,text,New,player/editor UI,"text = ""New"""
scenes/ui/PlakoroContentStudioUI.tscn,206,text,Load,player/editor UI,"text = ""Load"""
scenes/ui/PlakoroContentStudioUI.tscn,212,text,Duplicate,player/editor UI,"text = ""Duplicate"""
scenes/ui/PlakoroContentStudioUI.tscn,213,tooltip_text,Create a new user-owned copy of the selected content.,player/editor UI,"tooltip_text = ""Create a new user-owned copy of the selected content."""
scenes/ui/PlakoroContentStudioUI.tscn,219,text,Delete,player/editor UI,"text = ""Delete"""
scenes/ui/PlakoroContentStudioUI.tscn,220,tooltip_text,Delete the selected database JSON,player/editor UI,"tooltip_text = ""Delete the selected database JSON"""
scenes/ui/PlakoroContentStudioUI.tscn,248,text,New Pokémon,player/editor UI,"text = ""New Pokémon"""
scenes/ui/PlakoroContentStudioUI.tscn,254,text,New Content · ✓ Saved,player/editor UI,"text = ""New Content · ✓ Saved"""
scenes/ui/PlakoroContentStudioUI.tscn,260,text,No dependency information yet.,player/editor UI,"text = ""No dependency information yet."""
scenes/ui/PlakoroContentStudioUI.tscn,281,text,Create New Content,player/editor UI,"text = ""Create New Content"""
scenes/ui/PlakoroContentStudioUI.tscn,287,text,"Complete the required information, then create the content.",player/editor UI,"text = ""Complete the required information, then create the content."""
scenes/ui/PlakoroContentStudioUI.tscn,293,text,Required fields will appear here.,player/editor UI,"text = ""Required fields will appear here."""
scenes/ui/PlakoroContentStudioUI.tscn,309,text,V2 schema: schema_version / id / species_id / display_name / pokemon_type / max_hp / weaknesses[] / available_move_card_ids[] / kyokoro_profile_id,player/editor UI,"text = ""V2 schema: schema_version / id / species_id / display_name / pokemon_type / max_hp / weaknesses[] / available_move_card_ids[] / kyokoro_profile_id"""
scenes/ui/PlakoroContentStudioUI.tscn,326,text,Basic Information,player/editor UI,"text = ""Basic Information"""
scenes/ui/PlakoroContentStudioUI.tscn,340,text,id,player/editor UI,"text = ""id"""
scenes/ui/PlakoroContentStudioUI.tscn,352,text,species_id,player/editor UI,"text = ""species_id"""
scenes/ui/PlakoroContentStudioUI.tscn,364,text,display_name,player/editor UI,"text = ""display_name"""
scenes/ui/PlakoroContentStudioUI.tscn,376,text,pokemon_type,player/editor UI,"text = ""pokemon_type"""
scenes/ui/PlakoroContentStudioUI.tscn,387,text,max_hp,player/editor UI,"text = ""max_hp"""
scenes/ui/PlakoroContentStudioUI.tscn,408,text,Charakoro PNG,player/editor UI,"text = ""Charakoro PNG"""
scenes/ui/PlakoroContentStudioUI.tscn,422,text,No PNG,player/editor UI,"text = ""No PNG"""
scenes/ui/PlakoroContentStudioUI.tscn,434,text,Battle Weakness,player/editor UI,"text = ""Battle Weakness"""
scenes/ui/PlakoroContentStudioUI.tscn,442,text,attack_type,player/editor UI,"text = ""attack_type"""
scenes/ui/PlakoroContentStudioUI.tscn,451,text,bonus_damage,player/editor UI,"text = ""bonus_damage"""
scenes/ui/PlakoroContentStudioUI.tscn,471,text,Charakoro Profile,player/editor UI,"text = ""Charakoro Profile"""
scenes/ui/PlakoroContentStudioUI.tscn,483,text,Profile source: res://database/kyokoro_profiles/,player/editor UI,"text = ""Profile source: res://database/kyokoro_profiles/"""
scenes/ui/PlakoroContentStudioUI.tscn,488,text,Open Charakoro Profile,player/editor UI,"text = ""Open Charakoro Profile"""
scenes/ui/PlakoroContentStudioUI.tscn,489,tooltip_text,Open this profile in Charakoro Profile Editor.,player/editor UI,"tooltip_text = ""Open this profile in Charakoro Profile Editor."""
scenes/ui/PlakoroContentStudioUI.tscn,501,text,Default Enerkoro,player/editor UI,"text = ""Default Enerkoro"""
scenes/ui/PlakoroContentStudioUI.tscn,506,text,"Species default used when Battle Preparation selects Pokémon Default. If missing, Save Pokémon automatically generates a valid default from the Pokémon type.",player/editor UI,"text = ""Species default used when Battle Preparation selects Pokémon Default. If missing, Save Pokémon automatically generates a valid default from the Pokémon type."""
scenes/ui/PlakoroContentStudioUI.tscn,517,text,Default Dice: Missing,player/editor UI,"text = ""Default Dice: Missing"""
scenes/ui/PlakoroContentStudioUI.tscn,523,text,Edit Default Dice,player/editor UI,"text = ""Edit Default Dice"""
scenes/ui/PlakoroContentStudioUI.tscn,529,text,Regenerate Default Dice,player/editor UI,"text = ""Regenerate Default Dice"""
scenes/ui/PlakoroContentStudioUI.tscn,541,text,Move Loadout,player/editor UI,"text = ""Move Loadout"""
scenes/ui/PlakoroContentStudioUI.tscn,561,text,Add →,player/editor UI,"text = ""Add →"""
scenes/ui/PlakoroContentStudioUI.tscn,566,text,← Remove,player/editor UI,"text = ""← Remove"""
scenes/ui/PlakoroContentStudioUI.tscn,577,text,Open Selected Move,player/editor UI,"text = ""Open Selected Move"""
scenes/ui/PlakoroContentStudioUI.tscn,578,tooltip_text,Open the selected Move in Move Editor.,player/editor UI,"tooltip_text = ""Open the selected Move in Move Editor."""
scenes/ui/PlakoroContentStudioUI.tscn,595,text,Profile settings control how this Charakoro behaves when rolled.,player/editor UI,"text = ""Profile settings control how this Charakoro behaves when rolled."""
scenes/ui/PlakoroContentStudioUI.tscn,612,text,id,player/editor UI,"text = ""id"""
scenes/ui/PlakoroContentStudioUI.tscn,624,text,roll_mode,player/editor UI,"text = ""roll_mode"""
scenes/ui/PlakoroContentStudioUI.tscn,635,text,scene_path,player/editor UI,"text = ""scene_path"""
scenes/ui/PlakoroContentStudioUI.tscn,654,text,Landing Orientation Weights,player/editor UI,"text = ""Landing Orientation Weights"""
scenes/ui/PlakoroContentStudioUI.tscn,659,text,Edit the six Charakoro orientation weights. Probability is normalized automatically.,player/editor UI,"text = ""Edit the six Charakoro orientation weights. Probability is normalized automatically."""
scenes/ui/PlakoroContentStudioUI.tscn,674,text,Total Weight: 6.0,player/editor UI,"text = ""Total Weight: 6.0"""
scenes/ui/PlakoroContentStudioUI.tscn,686,text,Used by Pokémon,player/editor UI,"text = ""Used by Pokémon"""
scenes/ui/PlakoroContentStudioUI.tscn,691,text,Pokémon currently using this Charakoro Profile.,player/editor UI,"text = ""Pokémon currently using this Charakoro Profile."""
scenes/ui/PlakoroContentStudioUI.tscn,701,text,Used by 0 Pokémon.,player/editor UI,"text = ""Used by 0 Pokémon."""
scenes/ui/PlakoroContentStudioUI.tscn,710,text,Physics profile is preserved automatically when this profile is saved.,player/editor UI,"text = ""Physics profile is preserved automatically when this profile is saved."""
scenes/ui/PlakoroContentStudioUI.tscn,727,text,Runtime Effects: Supported,player/editor UI,"text = ""Runtime Effects: Supported"""
scenes/ui/PlakoroContentStudioUI.tscn,736,text,Move Card V2: schema_version / id / move_name_id / owner_id / display_name / move_category / attack_type / energy_cost[] / printed_damage / base_actions[] / outcome_rules[] / resolution / source / review,player/editor UI,"text = ""Move Card V2: schema_version / id / move_name_id / owner_id / display_name / move_category / attack_type / energy_cost[] / printed_damage / base_actions[] / outcome_rules[] / resolution / source / review"""
scenes/ui/PlakoroContentStudioUI.tscn,748,text,Basic Information,player/editor UI,"text = ""Basic Information"""
scenes/ui/PlakoroContentStudioUI.tscn,762,text,id,player/editor UI,"text = ""id"""
scenes/ui/PlakoroContentStudioUI.tscn,774,text,move_name_id,player/editor UI,"text = ""move_name_id"""
scenes/ui/PlakoroContentStudioUI.tscn,786,text,owner_id,player/editor UI,"text = ""owner_id"""
scenes/ui/PlakoroContentStudioUI.tscn,798,text,display_name,player/editor UI,"text = ""display_name"""
scenes/ui/PlakoroContentStudioUI.tscn,810,text,move_category,player/editor UI,"text = ""move_category"""
scenes/ui/PlakoroContentStudioUI.tscn,821,text,attack_type,player/editor UI,"text = ""attack_type"""
scenes/ui/PlakoroContentStudioUI.tscn,832,text,printed_damage,player/editor UI,"text = ""printed_damage"""
scenes/ui/PlakoroContentStudioUI.tscn,849,text,None / null,player/editor UI,"text = ""None / null"""
scenes/ui/PlakoroContentStudioUI.tscn,861,text,Gameplay & Effects,player/editor UI,"text = ""Gameplay & Effects"""
scenes/ui/PlakoroContentStudioUI.tscn,871,text,energy_cost[],player/editor UI,"text = ""energy_cost[]"""
scenes/ui/PlakoroContentStudioUI.tscn,877,text,+ Attack Type,player/editor UI,"text = ""+ Attack Type"""
scenes/ui/PlakoroContentStudioUI.tscn,883,text,Clear,player/editor UI,"text = ""Clear"""
scenes/ui/PlakoroContentStudioUI.tscn,889,text,+ Add Energy,player/editor UI,"text = ""+ Add Energy"""
scenes/ui/PlakoroContentStudioUI.tscn,899,text,Visual Cost Preview,player/editor UI,"text = ""Visual Cost Preview"""
scenes/ui/PlakoroContentStudioUI.tscn,911,text,Total Energy Required: 0,player/editor UI,"text = ""Total Energy Required: 0"""
scenes/ui/PlakoroContentStudioUI.tscn,921,text,base_actions[],player/editor UI,"text = ""base_actions[]"""
scenes/ui/PlakoroContentStudioUI.tscn,927,text,+ Add Action,player/editor UI,"text = ""+ Add Action"""
scenes/ui/PlakoroContentStudioUI.tscn,943,text,outcome_rules[],player/editor UI,"text = ""outcome_rules[]"""
scenes/ui/PlakoroContentStudioUI.tscn,949,text,+ Add Outcome Rule,player/editor UI,"text = ""+ Add Outcome Rule"""
scenes/ui/PlakoroContentStudioUI.tscn,960,text,10.1c supports the current runtime opcodes damage.create and incoming_damage.modify. Unknown existing opcodes load as Custom JSON so they are not lost.,player/editor UI,"text = ""10.1c supports the current runtime opcodes damage.create and incoming_damage.modify. Unknown existing opcodes load as Custom JSON so they are not lost."""
scenes/ui/PlakoroContentStudioUI.tscn,969,text,base_actions: 0,player/editor UI,"text = ""base_actions: 0"""
scenes/ui/PlakoroContentStudioUI.tscn,974,text,outcome_rules: 0,player/editor UI,"text = ""outcome_rules: 0"""
scenes/ui/PlakoroContentStudioUI.tscn,987,text,Advanced Data,player/editor UI,"text = ""Advanced Data"""
scenes/ui/PlakoroContentStudioUI.tscn,992,text,Shows special_effects / resolution / source / review exactly as stored. outcome_rules above are the authoritative normal Charakoro effects. special_effects may contain legacy mirrors plus structural mechanics such as multi-roll/repeat/opponent-roll.,player/editor UI,"text = ""Shows special_effects / resolution / source / review exactly as stored. outcome_rules above are the authoritative normal Charakoro effects. special_effects may contain legacy mirrors plus structural mechanics such as multi-roll/repe"
scenes/ui/PlakoroContentStudioUI.tscn,1012,text,Pokémon Assignment,player/editor UI,"text = ""Pokémon Assignment"""
scenes/ui/PlakoroContentStudioUI.tscn,1017,text,Only Pokémon whose species_id matches this Move owner_id are assignable. Checked Pokémon receive the Move ID in available_move_card_ids[].,player/editor UI,"text = ""Only Pokémon whose species_id matches this Move owner_id are assignable. Checked Pokémon receive the Move ID in available_move_card_ids[]."""
scenes/ui/PlakoroContentStudioUI.tscn,1034,text,Referenced by 0 Pokémon.,player/editor UI,"text = ""Referenced by 0 Pokémon."""
scenes/ui/PlakoroContentStudioUI.tscn,1046,text,Preview,player/editor UI,"text = ""Preview"""
scenes/ui/PlakoroContentStudioUI.tscn,1051,text,Live presentation preview. This does not change the Move Card JSON schema.,player/editor UI,"text = ""Live presentation preview. This does not change the Move Card JSON schema."""
scenes/ui/PlakoroContentStudioUI.tscn,1073,text,Unnamed Move,player/editor UI,"text = ""Unnamed Move"""
scenes/ui/PlakoroContentStudioUI.tscn,1078,text,Normal • Attack,player/editor UI,"text = ""Normal • Attack"""
scenes/ui/PlakoroContentStudioUI.tscn,1084,text,Damage: —,player/editor UI,"text = ""Damage: —"""
scenes/ui/PlakoroContentStudioUI.tscn,1088,text,Energy Cost,player/editor UI,"text = ""Energy Cost"""
scenes/ui/PlakoroContentStudioUI.tscn,1099,text,Effects,player/editor UI,"text = ""Effects"""
scenes/ui/PlakoroContentStudioUI.tscn,1118,text,Technical JSON Preview,player/editor UI,"text = ""Technical JSON Preview"""
scenes/ui/PlakoroContentStudioUI.tscn,1132,text,Saved,player/editor UI,"text = ""Saved"""
scenes/ui/PlakoroContentStudioUI.tscn,1148,text,Ready — select content or create a new entry.,player/editor UI,"text = ""Ready — select content or create a new entry."""
