file,line,classification,context
scripts/ui/PlakoroContentStudioUI.gd,3663,review,"+ ""%.1f"" % total"
scripts/ui/PlakoroContentStudioUI.gd,3817,review,"pokemon_id + "".png"""
scripts/ui/PlakoroContentStudioUI.gd,3819,review,"else species_id + ""_standard.png"""
scripts/ui/PlakoroContentStudioUI.gd,3833,review,"+ "" · """
scripts/ui/PlakoroContentStudioUI.gd,3864,review,"""Profile source: "" + String(profile_info.get(""label"", ""Built-in Content""))"
scripts/ui/PlakoroContentStudioUI.gd,3943,review,"+ ""Charakoro, Default Enerkoro, and Moves can be refined before or after creation."""
scripts/ui/PlakoroContentStudioUI.gd,3990,review,") + "" At least one Effect"""
scripts/ui/PlakoroContentStudioUI.gd,4056,review,"""New "" + _content_kind_label()"
scripts/ui/PlakoroContentStudioUI.gd,4064,review,"+ "" · """
scripts/ui/PlakoroContentStudioUI.gd,4065,review,"+ (""● Unsaved"" if _has_unsaved_changes() else ""✓ Saved"")"
scripts/ui/PlakoroContentStudioUI.gd,4077,review,"+ (profile_id if not profile_id.is_empty() else ""None"")"
scripts/ui/PlakoroContentStudioUI.gd,4078,review,"+ "" · """
scripts/ui/PlakoroContentStudioUI.gd,4080,review,"+ "" Move(s)"""
scripts/ui/PlakoroContentStudioUI.gd,4103,review,"+ "" Pokémon"""
scripts/ui/PlakoroContentStudioUI.gd,4104,review,"+ ("": "" + "", "".join(pokemon_refs) if not pokemon_refs.is_empty() else """")"
scripts/ui/PlakoroContentStudioUI.gd,4112,review,"+ "" Pokémon"""
scripts/ui/PlakoroContentStudioUI.gd,4113,review,"+ ("": "" + "", "".join(pokemon_refs) if not pokemon_refs.is_empty() else """")"
scripts/ui/PlakoroContentStudioUI.gd,4427,review,"+ ""  ["""
scripts/ui/PlakoroContentStudioUI.gd,4429,review,"+ ""]"""
scripts/ui/EnergyDiceVisualBuilderUI.gd,213,technical/data,"back_button.text = ""← "" + LocalizationService.tr_key("
scripts/ui/EnergyDiceVisualBuilderUI.gd,311,review,"pokemon_id.capitalize() + ""  •  """
scripts/ui/EnergyDiceVisualBuilderUI.gd,897,review,"""expected"": ""%.3f"" % expected_value,"
scripts/ui/EnergyDiceVisualBuilderUI.gd,898,review,"""probability"": ""%.1f"" % (probability * 100.0)"
scripts/ui/EnergyDiceVisualBuilderUI.gd,900,review,"""{energy}  •  expected {expected}  •  at least one {probability}%"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,268,review,"rx.text = ""X +90°"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,276,review,"ry.text = ""Y +90°"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,284,review,"rz.text = ""Z +90°"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,409,review,"+ ""[/color]"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,585,review,"+ ""[/color]"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,639,technical/data,"mode_note.text = LocalizationService.tr_key(""model_weight.mode_note.accurate"", ""Accurate: 10,000 max throws, 64 parallel bodies, stricter settle + convergence."")"
scripts/model_weight/ModelWeightGeneratorPanel.gd,688,technical/data,"output_name_edit.text = clean_id + ""_model_custom.json"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,694,technical/data,"filename = fallback_id + ""_model_custom.json"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,705,technical/data,"filename += "".json"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,708,technical/data,"filename = fallback_id + ""_model_custom.json"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,718,technical/data,"return ""%d,%d,%d"" % [qx, qy, qz]"
scripts/model_weight/ModelWeightGeneratorPanel.gd,722,review,"return a + ""|"" + b"
scripts/model_weight/ModelWeightGeneratorPanel.gd,723,review,"return b + ""|"" + a"
scripts/model_weight/ModelWeightGeneratorPanel.gd,825,technical/data,"return ""%.2f × %.2f × %.2f"" % [v.x, v.y, v.z]"
scripts/model_weight/ModelWeightGeneratorPanel.gd,829,technical/data,"model_info_label.text = ""[color=#BFC3C9]"" + LocalizationService.tr_key(""model_weight.info_unavailable"", ""Model information unavailable."") + ""[/color]"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,834,technical/data,"mesh_state = ""[color=#79C98B]"" + LocalizationService.tr_key(""model_weight.watertight"", ""✓ Watertight"") + ""[/color]"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,879,technical/data,"model_info_label.text = (""[color=#BFC3C9]"" + LocalizationService.tr_key(""model_weight.analyzing"", ""Analyzing model..."") + ""[/color]"")"
scripts/model_weight/ModelWeightGeneratorPanel.gd,884,technical/data,"output_name_edit.text = base + ""_model_custom.json"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,903,technical/data,"model_info_label.text = (""[color=#E07070]"" + LocalizationService.tr_key(""model_weight.analysis_import_failed"", ""Model analysis unavailable because import failed."") + ""[/color]"")"
scripts/model_weight/ModelWeightGeneratorPanel.gd,1450,review,"{""delta"": ""%.3f"" % (delta * 100.0), ""stable"": stable_checks, ""required"": int(profile[""stable_checks_required""])},"
scripts/model_weight/ModelWeightGeneratorPanel.gd,1451,review,""" | convergence Δ {delta}% ({stable}/{required})"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,1460,technical/data,"next_checkpoint += int(profile[""checkpoint""])"
scripts/model_weight/ModelWeightGeneratorPanel.gd,1475,technical/data,"result_text += LocalizationService.tr_key(""model_weight.converged_early"", "" (converged early)"")"
scripts/model_weight/ModelWeightGeneratorPanel.gd,1476,review,"result_text += ""\n\n"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,1483,review,"{""orientation"": orientation, ""percent"": ""%.2f"" % (p * 100.0), ""weight"": ""%.4f"" % weights[orientation]},"
scripts/model_weight/ModelWeightGeneratorPanel.gd,1484,review,"""{orientation}  {percent}%   weight {weight}"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,1485,review,") + ""\n"""
scripts/model_weight/ModelWeightGeneratorPanel.gd,1489,review,"""id"": pokemon + ""_model_custom"","
scripts/model_weight/ModelWeightGeneratorPanel.gd,1528,technical/data,"""convergence"": ("" | "" + LocalizationService.tr_key(""model_weight.converged_early"", ""converged early"").strip_edges()) if early_stopped else """""
scripts/presentation/timeline/BattleTimelineBuilder.gd,626,review,"+ "" × """
scripts/presentation/timeline/BattleTimelineBuilder.gd,644,review,"+ "" × """
scripts/presentation/timeline/BattleTimelineBuilder.gd,665,review,"return ""+"" + str(value)"
scripts/presentation/timeline/BattleTimelineBuilder.gd,671,technical/data,"return ""%.2f"" % value"
scripts/presentation/timeline/BattleTimelineBuilder.gd,675,technical/data,"return ""%.1f%%"" % (value * 100.0)"
